time, height, speed, acceleration, user_data
0, 0, 0, 0, 0
0.010000, 0, 0, 9.810000, 0
0.020000, 0, 0, 9.810000, 0
0.030000, 0, 0, 9.810000, 0
0.040000, 0, 0, 9.810000, 0
0.050000, 0, 0, 9.810000, 0
0.060000, 0, 0, 9.810000, 0
0.070000, 0, 0, 9.810000, 0
0.080000, 0, 0, 9.810000, 0
0.090000, 0, 0, 9.810000, 0
0.100000, 0, 0, 9.810000, 0
0.110000, 0, 0, 9.810000, 0
0.120000, 0, 0, 9.810000, 0
0.130000, 0, 0, 9.810000, 0
0.140000, 0, 0, 9.810000, 0
0.150000, 0, 0, 9.810000, 0
0.160000, 0, 0, 9.810000, 0
0.170000, 0, 0, 9.810000, 0
0.180000, 0, 0, 9.810000, 0
0.190000, 0, 0, 9.810000, 0
0.200000, 0, 0, 9.810000, 0
0.210000, 0, 0, 9.810000, 0
0.220000, 0, 0, 9.810000, 0
0.230000, 0, 0, 9.810000, 0
0.240000, 0, 0, 9.810000, 0
0.250000, 0, 0, 9.810000, 0
0.260000, 0, 0, 9.810000, 0
0.270000, 0, 0, 9.810000, 0
0.280000, 0, 0, 9.810000, 0
0.290000, 0, 0, 9.810000, 0
0.300000, 0, 0, 9.810000, 0
0.310000, 0, 0, 9.810000, 0
0.320000, 0, 0, 9.810000, 0
0.330000, 0, 0, 9.810000, 0
0.340000, 0, 0, 9.810000, 0
0.350000, 0, 0, 9.810000, 0
0.360000, 0, 0, 9.810000, 0
0.370000, 0, 0, 9.810000, 0
0.380000, 0, 0, 9.810000, 0
0.390000, 0, 0, 9.810000, 0
0.400000, 0, 0, 9.810000, 0
0.410000, 0, 0, 9.810000, 0
0.420000, 0, 0, 9.810000, 0
0.430000, 0, 0, 9.810000, 0
0.440000, 0, 0, 9.810000, 0
0.450000, 0, 0, 9.810000, 0
0.460000, 0, 0, 9.810000, 0
0.470000, 0, 0, 9.810000, 0
0.480000, 0, 0, 9.810000, 0
0.490000, 0, 0, 9.810000, 0
0.500000, 0, 0, 9.810000, 0
0.510000, 0, 0, 9.569214, 0.009091
0.520000, 0, 0, 9.283834, 0.018182
0.530000, 0, 0, 8.953861, 0.027273
0.540000, 0, 0, 8.579299, 0.036363
0.550000, 0, 0, 8.160146, 0.045454
0.560000, 0, 0, 7.696402, 0.054545
0.570000, 0, 0, 7.188066, 0.063636
0.580000, 0, 0, 6.635140, 0.072727
0.590000, 0, 0, 6.037624, 0.081818
0.600000, 0, 0, 5.395516, 0.090909
0.610000, 0, 0, 4.708818, 0.100000
0.620000, 0, 0, 3.977528, 0.109091
0.630000, 0, 0, 3.201648, 0.118182
0.640000, 0, 0, 2.381177, 0.127272
0.650000, 0, 0, 1.516114, 0.136363
0.660000, 0, 0, 0.606462, 0.145454
